java_class_path,release,LOC,LOC_Touched,NR,Nfix,Nauth,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,Max_Churn,Avg_Churn,Change_Set_Size,Max_Change_Set,Avg_Change_Set,Age,Weighted_Age,EXP,SEXP,Previous_Release_Code_Smells,isBuggy
openjpa-examples/src/main/java/hellojpa/Main.java,0.9.6,60,96,3,0,1,86,58,28.67,96,58,32.00,1275,1263,425.00,32,3072,58,4,0,false
openjpa-examples/src/main/java/hellojpa/Message.java,0.9.6,56,92,3,0,1,82,54,27.33,92,54,30.67,1275,1263,425.00,32,2944,58,4,0,false
openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,0.9.6,56,87,4,0,2,76,62,19.00,87,62,21.75,2989,1263,747.25,133,11571,36,4,0,false
openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,0.9.6,88,123,3,0,2,113,100,37.67,123,100,41.00,2767,1263,922.33,133,16359,39,4,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,0.9.6,183,241,5,0,3,228,211,45.60,241,211,48.20,2875,1263,575.00,133,32053,30,9,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,0.9.6,226,291,5,0,3,276,257,55.20,291,257,58.20,2830,1263,566.00,133,38703,34,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,0.9.6,128,177,5,0,3,164,147,32.80,177,147,35.40,2875,1263,575.00,133,23541,30,9,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,0.9.6,45,73,4,0,2,63,49,15.75,73,49,18.25,2770,1263,692.50,133,9709,34,9,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,0.9.6,527,679,6,0,3,642,609,107.00,679,609,113.17,3091,1263,515.17,133,90307,30,11,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,0.9.6,753,1025,12,0,5,954,900,79.50,1025,900,85.42,2982,1263,248.50,133,136325,25,11,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,0.9.6,42,127,9,0,4,89,50,9.89,127,50,14.11,2950,1263,327.78,133,16891,30,14,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,0.9.6,54,81,3,0,2,71,58,23.67,81,58,27.00,2767,1263,922.33,133,10773,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,0.9.6,144,188,5,0,3,175,158,35.00,188,158,37.60,2815,1263,563.00,133,25004,37,17,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java,0.9.6,54,93,5,0,3,78,65,15.60,93,65,18.60,2798,1263,559.60,133,12369,36,14,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,0.9.6,114,160,4,0,2,149,135,37.25,160,135,40.00,2989,1263,747.25,133,21280,36,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,0.9.6,150,342,6,0,3,280,189,46.67,342,189,57.00,2776,1263,462.67,133,45486,38,16,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,0.9.6,328,519,6,0,3,444,384,74.00,519,384,86.50,2811,1263,468.50,133,69027,31,11,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,0.9.6,234,324,8,0,4,293,262,36.63,324,262,40.50,2921,1263,365.13,133,43092,26,11,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java,0.9.6,29,55,3,0,2,45,32,15.00,55,32,18.33,2767,1263,922.33,133,7315,39,10,0,false
