Dataset,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20
OPENJPA,RandomForest,No,No,0.73,0.52,0.94,0.58,0.88
OPENJPA,RandomForest,No,Undersampling,0.31,0.86,0.91,0.37,0.80
OPENJPA,RandomForest,No,Oversampling,0.61,0.66,0.94,0.59,0.87
OPENJPA,RandomForest,No,SMOTE,0.63,0.66,0.94,0.61,0.88
OPENJPA,RandomForest,InfoGain,No,0.73,0.52,0.94,0.58,0.88
OPENJPA,RandomForest,InfoGain,Undersampling,0.31,0.86,0.91,0.37,0.80
OPENJPA,RandomForest,InfoGain,Oversampling,0.60,0.66,0.94,0.59,0.87
OPENJPA,RandomForest,InfoGain,SMOTE,0.63,0.67,0.94,0.61,0.88
OPENJPA,RandomForest,Spearman,No,0.72,0.53,0.94,0.58,0.88
OPENJPA,RandomForest,Spearman,Undersampling,0.31,0.86,0.91,0.37,0.80
OPENJPA,RandomForest,Spearman,Oversampling,0.61,0.66,0.94,0.59,0.87
OPENJPA,RandomForest,Spearman,SMOTE,0.63,0.67,0.94,0.61,0.88
OPENJPA,RandomForest,ForwardSearch,No,0.72,0.53,0.94,0.58,0.88
OPENJPA,RandomForest,ForwardSearch,Undersampling,0.31,0.86,0.91,0.37,0.80
OPENJPA,RandomForest,ForwardSearch,Oversampling,0.58,0.67,0.93,0.58,0.86
OPENJPA,RandomForest,ForwardSearch,SMOTE,0.57,0.66,0.93,0.57,0.85
OPENJPA,RandomForest,BackwardSearch,No,0.72,0.52,0.94,0.57,0.88
OPENJPA,RandomForest,BackwardSearch,Undersampling,0.31,0.87,0.91,0.37,0.80
OPENJPA,RandomForest,BackwardSearch,Oversampling,0.59,0.67,0.93,0.59,0.86
OPENJPA,RandomForest,BackwardSearch,SMOTE,0.62,0.62,0.94,0.58,0.87
OPENJPA,NaiveBayes,No,No,0.35,0.29,0.79,0.26,0.54
OPENJPA,NaiveBayes,No,Undersampling,0.34,0.32,0.76,0.26,0.53
OPENJPA,NaiveBayes,No,Oversampling,0.34,0.32,0.78,0.26,0.54
OPENJPA,NaiveBayes,No,SMOTE,0.34,0.33,0.78,0.27,0.55
OPENJPA,NaiveBayes,InfoGain,No,0.35,0.29,0.79,0.26,0.54
OPENJPA,NaiveBayes,InfoGain,Undersampling,0.34,0.32,0.76,0.26,0.53
OPENJPA,NaiveBayes,InfoGain,Oversampling,0.34,0.32,0.78,0.26,0.54
OPENJPA,NaiveBayes,InfoGain,SMOTE,0.34,0.33,0.78,0.27,0.55
OPENJPA,NaiveBayes,Spearman,No,0.35,0.29,0.79,0.26,0.54
OPENJPA,NaiveBayes,Spearman,Undersampling,0.34,0.32,0.76,0.26,0.53
OPENJPA,NaiveBayes,Spearman,Oversampling,0.34,0.32,0.78,0.26,0.54
OPENJPA,NaiveBayes,Spearman,SMOTE,0.34,0.33,0.78,0.27,0.55
OPENJPA,NaiveBayes,ForwardSearch,No,0.36,0.29,0.80,0.27,0.56
OPENJPA,NaiveBayes,ForwardSearch,Undersampling,0.31,0.40,0.79,0.28,0.56
OPENJPA,NaiveBayes,ForwardSearch,Oversampling,0.32,0.40,0.79,0.28,0.56
OPENJPA,NaiveBayes,ForwardSearch,SMOTE,0.35,0.35,0.77,0.29,0.57
OPENJPA,NaiveBayes,BackwardSearch,No,0.39,0.28,0.80,0.27,0.56
OPENJPA,NaiveBayes,BackwardSearch,Undersampling,0.32,0.38,0.78,0.28,0.56
OPENJPA,NaiveBayes,BackwardSearch,Oversampling,0.33,0.37,0.80,0.28,0.56
OPENJPA,NaiveBayes,BackwardSearch,SMOTE,0.34,0.35,0.79,0.28,0.57
OPENJPA,IBk,No,No,0.53,0.51,0.75,0.47,0.56
OPENJPA,IBk,No,Undersampling,0.26,0.81,0.79,0.30,0.57
OPENJPA,IBk,No,Oversampling,0.47,0.58,0.77,0.46,0.61
OPENJPA,IBk,No,SMOTE,0.46,0.60,0.78,0.46,0.64
OPENJPA,IBk,InfoGain,No,0.53,0.51,0.75,0.47,0.56
OPENJPA,IBk,InfoGain,Undersampling,0.26,0.81,0.79,0.30,0.57
OPENJPA,IBk,InfoGain,Oversampling,0.47,0.58,0.77,0.46,0.61
OPENJPA,IBk,InfoGain,SMOTE,0.46,0.60,0.78,0.46,0.64
OPENJPA,IBk,Spearman,No,0.53,0.51,0.75,0.47,0.56
OPENJPA,IBk,Spearman,Undersampling,0.26,0.81,0.79,0.30,0.57
OPENJPA,IBk,Spearman,Oversampling,0.47,0.58,0.77,0.46,0.61
OPENJPA,IBk,Spearman,SMOTE,0.46,0.60,0.78,0.46,0.64
OPENJPA,IBk,ForwardSearch,No,0.51,0.48,0.75,0.45,0.54
OPENJPA,IBk,ForwardSearch,Undersampling,0.26,0.80,0.79,0.29,0.56
OPENJPA,IBk,ForwardSearch,Oversampling,0.44,0.55,0.76,0.43,0.59
OPENJPA,IBk,ForwardSearch,SMOTE,0.38,0.62,0.80,0.40,0.64
OPENJPA,IBk,BackwardSearch,No,0.50,0.48,0.75,0.44,0.53
OPENJPA,IBk,BackwardSearch,Undersampling,0.26,0.79,0.79,0.29,0.56
OPENJPA,IBk,BackwardSearch,Oversampling,0.43,0.55,0.76,0.42,0.58
OPENJPA,IBk,BackwardSearch,SMOTE,0.40,0.61,0.79,0.42,0.61
