rank,class_path,nsmells,loc,selected
1,openjpa-examples/openbooks/src/main/java/openbook/tools/parser/JavaParser.java,9290,20153,false
2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,1951,6121,false
3,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,1576,5510,true
4,openjpa-examples/openbooks/src/main/java/openbook/tools/parser/JavaLexer.java,1158,4777,false
5,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,1094,3706,false
6,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Expressions.java,987,2097,false
7,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,928,2590,false
8,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,785,2869,false
9,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,726,2587,false
10,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java,694,2447,false
11,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java,652,3000,false
12,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,648,2588,false
13,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java,639,2264,false
14,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,632,1989,false
15,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,621,2321,false
16,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,614,2242,false
17,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java,607,1263,false
18,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,575,2044,false
19,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java,568,1141,false
20,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java,565,1142,false
21,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,557,1623,false
22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java,556,1616,false
23,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java,541,1569,false
24,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,538,1207,false
25,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java,531,2249,false
26,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,510,1973,false
27,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java,510,1856,false
28,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaBuilderImpl.java,470,1046,false
29,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingResultSet.java,459,1088,false
30,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java,456,1455,false
31,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,452,1538,false
32,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,449,1146,false
33,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,429,1735,false
34,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java,395,938,false
35,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,384,1005,false
36,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,374,1085,false
37,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FetchConfigurationImpl.java,362,1176,false
38,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java,360,1134,false
39,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java,354,1674,false
40,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java,345,1029,false
41,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,336,1176,false
42,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentReferenceHashMap.java,322,1152,false
43,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java,315,1033,false
44,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashMap.java,308,985,false
45,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java,304,997,false
46,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,299,2301,false
47,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,297,910,false
48,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,296,1282,false
49,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,288,703,false
50,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,283,981,false
51,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java,283,890,false
52,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingSerializer.java,283,813,false
53,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SingleFieldManager.java,282,928,false
54,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingPreparedStatement.java,280,674,false
55,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java,275,1171,false
56,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,272,981,false
57,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java,259,767,false
58,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,259,732,false
59,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,257,861,false
60,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,254,999,false
61,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,252,941,false
62,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,243,799,false
63,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,238,1126,false
64,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCStoreManager.java,238,600,false
65,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java,237,768,false
66,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,230,1040,false
67,openjpa-kernel/src/main/java/org/apache/openjpa/meta/JavaTypes.java,229,544,false
68,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,221,627,false
69,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassArgParser.java,217,641,false
70,openjpa-lib/src/main/java/org/apache/openjpa/lib/identifier/IdentifierUtilImpl.java,216,635,false
71,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java,207,798,false
72,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationRelationMapTableFieldStrategy.java,207,583,false
73,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java,202,649,false
74,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,202,435,false
75,openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/AsmHelper.java,201,695,false
76,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLFileHandler.java,199,661,false
