=== SMELL DETAIL REPORT — Milestone 4 ===
Release  : 4.1.1
Generated: 2026-07-15
Selection: G=7, X=7 mod 5=2, case 2 (first+2 and last-2)
Ranked classes after filters: 602

================================================================================
CLASS A (rank 3, first+2):
  Path   : openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
  LOC    : 5510
  Nsmells: 1576

  #      Rule                                           Category                Lines       Message
  --------------------------------------------------------------------------------------------------------------------------------------------
  1      ExcessiveImports                               Design                  19-5510     A high number of imports can indicate a high degree of coupling within an object.
  2      CouplingBetweenObjects                         Design                  19-5510     A value of 81 may denote a high amount of coupling within the class (threshold: 20)
  3      AtLeastOneConstructor                          Code Style              109         Each class should declare at least one constructor
  4      GodClass                                       Design                  109         Possible God Class (WMC=1,236, ATFD=340, TCC=9.133%)
  5      NcssCount                                      Design                  109         The class 'BrokerImpl' has a NCSS line count of 2858 (Highest = 75).
  6      CyclomaticComplexity                           Design                  109         The class 'BrokerImpl' has a total cyclomatic complexity of 1236 (highest 39).
  7      ExcessivePublicCount                           Design                  109         This class has a bunch of public methods and attributes
  8      TooManyMethods                                 Design                  109-5510    This class has too many methods, consider refactoring it.
  9      TooManyFields                                  Design                  109-5510    Too many fields
  10     CommentDefaultAccessModifier                   Code Style              133         Missing commented default access modifier on field 'STATUS_INIT'
  11     CommentDefaultAccessModifier                   Code Style              134         Missing commented default access modifier on field 'STATUS_TRANSIENT'
  12     CommentDefaultAccessModifier                   Code Style              135         Missing commented default access modifier on field 'STATUS_OID_ASSIGN'
  13     CommentDefaultAccessModifier                   Code Style              136         Missing commented default access modifier on field 'STATUS_COMMIT_NEW'
  14     LongVariable                                   Code Style              140         Avoid excessively long variable names like FLAG_CLOSE_INVOKED
  15     LongVariable                                   Code Style              142         Avoid excessively long variable names like FLAG_DEREFDELETING
  16     LongVariable                                   Code Style              144         Avoid excessively long variable names like FLAG_STORE_FLUSHING
  17     LongVariable                                   Code Style              146         Avoid excessively long variable names like FLAG_FLUSH_REQUIRED
  18     LongVariable                                   Code Style              147         Avoid excessively long variable names like FLAG_REMOTE_LISTENER
  19     LongVariable                                   Code Style              148         Avoid excessively long variable names like FLAG_RETAINED_CONN
  20     LongVariable                                   Code Style              153         Avoid excessively long variable names like _connectionFactoryName
  21     FieldNamingConventions                         Code Style              153         The field name '_connectionFactoryName' doesn't match '[a-z][a-zA-Z0-9]*'
  22     LongVariable                                   Code Style              154         Avoid excessively long variable names like _connectionFactory2Name
  23     FieldNamingConventions                         Code Style              154         The field name '_connectionFactory2Name' doesn't match '[a-z][a-zA-Z0-9]*'
  24     FieldNamingConventions                         Code Style              156         The constant name '_loc' doesn't match '[A-Z][A-Z_0-9]*'
  25     FieldNamingConventions                         Code Style              161         The field name '_store' doesn't match '[a-z][a-zA-Z0-9]*'
  26     FieldNamingConventions                         Code Style              163         The field name '_fc' doesn't match '[a-z][a-zA-Z0-9]*'
  27     FieldNamingConventions                         Code Style              164         The field name '_user' doesn't match '[a-z][a-zA-Z0-9]*'
  28     FieldNamingConventions                         Code Style              165         The field name '_pass' doesn't match '[a-z][a-zA-Z0-9]*'
  29     FieldNamingConventions                         Code Style              168         The field name '_log' doesn't match '[a-z][a-zA-Z0-9]*'
  30     FieldNamingConventions                         Code Style              169         The field name '_compat' doesn't match '[a-z][a-zA-Z0-9]*'
  31     FieldNamingConventions                         Code Style              170         The field name '_runtime' doesn't match '[a-z][a-zA-Z0-9]*'
  32     FieldNamingConventions                         Code Style              171         The field name '_lm' doesn't match '[a-z][a-zA-Z0-9]*'
  33     FieldNamingConventions                         Code Style              172         The field name '_im' doesn't match '[a-z][a-zA-Z0-9]*'
  34     FieldNamingConventions                         Code Style              173         The field name '_lock' doesn't match '[a-z][a-zA-Z0-9]*'
  35     FieldNamingConventions                         Code Style              174         The field name '_call' doesn't match '[a-z][a-zA-Z0-9]*'
  36     FieldNamingConventions                         Code Style              175         The field name '_extrans' doesn't match '[a-z][a-zA-Z0-9]*'
  37     FieldNamingConventions                         Code Style              176         The field name '_instm' doesn't match '[a-z][a-zA-Z0-9]*'
  38     FieldNamingConventions                         Code Style              179         The field name '_factory' doesn't match '[a-z][a-zA-Z0-9]*'
  39     FieldNamingConventions                         Code Style              180         The field name '_conf' doesn't match '[a-z][a-zA-Z0-9]*'
  40     FieldNamingConventions                         Code Style              181         The field name '_repo' doesn't match '[a-z][a-zA-Z0-9]*'
  41     FieldNamingConventions                         Code Style              184         The field name '_loader' doesn't match '[a-z][a-zA-Z0-9]*'
  42     FieldNamingConventions                         Code Style              187         The field name '_sync' doesn't match '[a-z][a-zA-Z0-9]*'
  43     LooseCoupling                                  Best Practices          188         Avoid using implementation types like 'Map'; use the interface instead
  44     FieldNamingConventions                         Code Style              188         The field name '_userObjects' doesn't match '[a-z][a-zA-Z0-9]*'
  45     FieldNamingConventions                         Code Style              191         The field name '_cache' doesn't match '[a-z][a-zA-Z0-9]*'
  46     FieldNamingConventions                         Code Style              192         The field name '_transCache' doesn't match '[a-z][a-zA-Z0-9]*'
  47     FieldNamingConventions                         Code Style              193         The field name '_transAdditions' doesn't match '[a-z][a-zA-Z0-9]*'
  48     FieldNamingConventions                         Code Style              194         The field name '_derefCache' doesn't match '[a-z][a-zA-Z0-9]*'
  49     FieldNamingConventions                         Code Style              195         The field name '_derefAdditions' doesn't match '[a-z][a-zA-Z0-9]*'
  50     LooseCoupling                                  Best Practices          198         Avoid using implementation types like 'Map'; use the interface instead
  51     FieldNamingConventions                         Code Style              198         The field name '_loading' doesn't match '[a-z][a-zA-Z0-9]*'
  52     FieldNamingConventions                         Code Style              199         The field name '_operating' doesn't match '[a-z][a-zA-Z0-9]*'
  53     FieldNamingConventions                         Code Style              200         The field name '_operatingDirty' doesn't match '[a-z][a-zA-Z0-9]*'
  54     FieldNamingConventions                         Code Style              202         The field name '_persistedClss' doesn't match '[a-z][a-zA-Z0-9]*'
  55     FieldNamingConventions                         Code Style              203         The field name '_updatedClss' doesn't match '[a-z][a-zA-Z0-9]*'
  56     FieldNamingConventions                         Code Style              204         The field name '_deletedClss' doesn't match '[a-z][a-zA-Z0-9]*'
  57     FieldNamingConventions                         Code Style              205         The field name '_pending' doesn't match '[a-z][a-zA-Z0-9]*'
  58     FieldNamingConventions                         Code Style              210         The field name '_savepointCache' doesn't match '[a-z][a-zA-Z0-9]*'
  59     FieldNamingConventions                         Code Style              211         The field name '_savepoints' doesn't match '[a-z][a-zA-Z0-9]*'
  60     FieldNamingConventions                         Code Style              212         The field name '_spm' doesn't match '[a-z][a-zA-Z0-9]*'
  61     FieldNamingConventions                         Code Style              215         The field name '_queries' doesn't match '[a-z][a-zA-Z0-9]*'
  62     FieldNamingConventions                         Code Style              216         The field name '_extents' doesn't match '[a-z][a-zA-Z0-9]*'
  63     FieldNamingConventions                         Code Style              220         The field name '_operationCount' doesn't match '[a-z][a-zA-Z0-9]*'
  64     FieldNamingConventions                         Code Style              223         The field name '_nontransRead' doesn't match '[a-z][a-zA-Z0-9]*'
  65     FieldNamingConventions                         Code Style              224         The field name '_nontransWrite' doesn't match '[a-z][a-zA-Z0-9]*'
  66     FieldNamingConventions                         Code Style              225         The field name '_retainState' doesn't match '[a-z][a-zA-Z0-9]*'
  67     FieldNamingConventions                         Code Style              226         The field name '_autoClear' doesn't match '[a-z][a-zA-Z0-9]*'
  68     FieldNamingConventions                         Code Style              227         The field name '_restoreState' doesn't match '[a-z][a-zA-Z0-9]*'
  69     FieldNamingConventions                         Code Style              228         The field name '_optimistic' doesn't match '[a-z][a-zA-Z0-9]*'
  70     FieldNamingConventions                         Code Style              229         The field name '_ignoreChanges' doesn't match '[a-z][a-zA-Z0-9]*'
  71     FieldNamingConventions                         Code Style              230         The field name '_multithreaded' doesn't match '[a-z][a-zA-Z0-9]*'
  72     FieldNamingConventions                         Code Style              231         The field name '_managed' doesn't match '[a-z][a-zA-Z0-9]*'
  73     FieldNamingConventions                         Code Style              232         The field name '_syncManaged' doesn't match '[a-z][a-zA-Z0-9]*'
  74     FieldNamingConventions                         Code Style              233         The field name '_connRetainMode' doesn't match '[a-z][a-zA-Z0-9]*'
  75     FieldNamingConventions                         Code Style              234         The field name '_evictDataCache' doesn't match '[a-z][a-zA-Z0-9]*'
  76     LongVariable                                   Code Style              235         Avoid excessively long variable names like _populateDataCache
  77     FieldNamingConventions                         Code Style              235         The field name '_populateDataCache' doesn't match '[a-z][a-zA-Z0-9]*'
  78     FieldNamingConventions                         Code Style              236         The field name '_largeTransaction' doesn't match '[a-z][a-zA-Z0-9]*'
  79     FieldNamingConventions                         Code Style              237         The field name '_autoDetach' doesn't match '[a-z][a-zA-Z0-9]*'
  80     FieldNamingConventions                         Code Style              238         The field name '_detachState' doesn't match '[a-z][a-zA-Z0-9]*'
  81     FieldNamingConventions                         Code Style              239         The field name '_detachedNew' doesn't match '[a-z][a-zA-Z0-9]*'
  82     FieldNamingConventions                         Code Style              240         The field name '_orderDirty' doesn't match '[a-z][a-zA-Z0-9]*'
  83     LongVariable                                   Code Style              241         Avoid excessively long variable names like _cachePreparedQuery
  84     FieldNamingConventions                         Code Style              241         The field name '_cachePreparedQuery' doesn't match '[a-z][a-zA-Z0-9]*'
  85     ImmutableField                                 Design                  242         Field '_cacheFinderQuery' may be declared final
  86     FieldNamingConventions                         Code Style              242         The field name '_cacheFinderQuery' doesn't match '[a-z][a-zA-Z0-9]*'
  87     LongVariable                                   Code Style              243         Avoid excessively long variable names like _suppressBatchOLELogging
  88     FieldNamingConventions                         Code Style              243         The field name '_suppressBatchOLELogging' doesn't match '[a-z][a-zA-Z0-9]*'
  89     LongVariable                                   Code Style              244         Avoid excessively long variable names like _allowReferenceToSiblingContext
  90     FieldNamingConventions                         Code Style              244         The field name '_allowReferenceToSiblingContext' doesn't match '[a-z][a-zA-Z0-9]*'
  91     FieldNamingConventions                         Code Style              245         The field name '_postLoadOnMerge' doesn't match '[a-z][a-zA-Z0-9]*'
  92     FieldNamingConventions                         Code Style              248         The field name '_flags' doesn't match '[a-z][a-zA-Z0-9]*'
  93     FieldNamingConventions                         Code Style              251         The field name '_isSerializing' doesn't match '[a-z][a-zA-Z0-9]*'
  94     FieldNamingConventions                         Code Style              254         The field name '_closed' doesn't match '[a-z][a-zA-Z0-9]*'
  95     FieldNamingConventions                         Code Style              255         The field name '_closedException' doesn't match '[a-z][a-zA-Z0-9]*'
  96     LongVariable                                   Code Style              258         Avoid excessively long variable names like _transEventManager
  97     FieldNamingConventions                         Code Style              258         The field name '_transEventManager' doesn't match '[a-z][a-zA-Z0-9]*'
  98     LongVariable                                   Code Style              259         Avoid excessively long variable names like _transCallbackMode
  99     FieldNamingConventions                         Code Style              259         The field name '_transCallbackMode' doesn't match '[a-z][a-zA-Z0-9]*'
  100    FieldNamingConventions                         Code Style              260         The field name '_lifeEventManager' doesn't match '[a-z][a-zA-Z0-9]*'
  101    FieldNamingConventions                         Code Style              261         The field name '_lifeCallbackMode' doesn't match '[a-z][a-zA-Z0-9]*'
  102    FieldNamingConventions                         Code Style              263         The field name '_dmLite' doesn't match '[a-z][a-zA-Z0-9]*'
  103    LongVariable                                   Code Style              265         Avoid excessively long variable names like _initializeWasInvoked
  104    FieldNamingConventions                         Code Style              265         The field name '_initializeWasInvoked' doesn't match '[a-z][a-zA-Z0-9]*'
  105    LongVariable                                   Code Style              266         Avoid excessively long variable names like _fromWriteBehindCallback
